dataset,method,query_id,ndcg@10,mrr@10,recall@100
scifact,bm25,975,0.0,0.0,0.0
scifact,bm25,982,1.0,1.0,1.0
scifact,bm25,985,1.0,1.0,1.0
scifact,bm25,99,1.0,1.0,1.0
scifact,bm25,993,1.0,1.0,1.0
scifact,all_minilm_l6,1,0.38685280723454163,0.2,1.0
scifact,all_minilm_l6,100,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,1012,1.0,1.0,1.0
scifact,all_minilm_l6,1014,1.0,1.0,1.0
scifact,all_minilm_l6,1019,0.43067655807339306,0.25,1.0
scifact,all_minilm_l6,1020,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1021,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1024,0.0,0.0,1.0
scifact,all_minilm_l6,1029,0.9674679834891693,1.0,1.0
scifact,all_minilm_l6,1041,0.0,0.0,1.0
scifact,all_minilm_l6,1049,0.0,0.0,1.0
scifact,all_minilm_l6,1062,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1086,1.0,1.0,1.0
scifact,all_minilm_l6,1088,1.0,1.0,1.0
scifact,all_minilm_l6,1089,1.0,1.0,1.0
scifact,all_minilm_l6,1099,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,1100,0.43067655807339306,0.25,1.0
scifact,all_minilm_l6,1104,1.0,1.0,1.0
scifact,all_minilm_l6,1107,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,1110,0.0,0.0,0.0
scifact,all_minilm_l6,1121,1.0,1.0,1.0
scifact,all_minilm_l6,113,1.0,1.0,1.0
scifact,all_minilm_l6,1130,1.0,1.0,1.0
scifact,all_minilm_l6,1132,0.23719771276929622,0.2,1.0
scifact,all_minilm_l6,1137,1.0,1.0,1.0
scifact,all_minilm_l6,1140,1.0,1.0,1.0
scifact,all_minilm_l6,1144,1.0,1.0,1.0
scifact,all_minilm_l6,1146,1.0,1.0,1.0
scifact,all_minilm_l6,115,1.0,1.0,1.0
scifact,all_minilm_l6,1150,1.0,1.0,1.0
scifact,all_minilm_l6,1163,1.0,1.0,1.0
scifact,all_minilm_l6,1175,0.0,0.0,0.0
scifact,all_minilm_l6,1179,0.0,0.0,0.0
scifact,all_minilm_l6,118,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1180,0.0,0.0,1.0
scifact,all_minilm_l6,1185,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,1187,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1191,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1194,1.0,1.0,1.0
scifact,all_minilm_l6,1196,0.38685280723454163,0.2,1.0
scifact,all_minilm_l6,1197,0.38685280723454163,0.2,1.0
scifact,all_minilm_l6,1199,0.0,0.0,0.0
scifact,all_minilm_l6,1200,0.0,0.0,0.0
scifact,all_minilm_l6,1202,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1204,1.0,1.0,1.0
scifact,all_minilm_l6,1207,1.0,1.0,1.0
scifact,all_minilm_l6,1213,0.0,0.0,1.0
scifact,all_minilm_l6,1216,1.0,1.0,1.0
scifact,all_minilm_l6,1221,0.31546487678572877,0.125,1.0
scifact,all_minilm_l6,1225,1.0,1.0,1.0
scifact,all_minilm_l6,1226,0.0,0.0,0.0
scifact,all_minilm_l6,1232,1.0,1.0,1.0
scifact,all_minilm_l6,124,1.0,1.0,1.0
scifact,all_minilm_l6,1241,1.0,1.0,1.0
scifact,all_minilm_l6,1245,0.3010299956639812,0.1111111111111111,1.0
